title,creators,collection,tags,description
Why My Cat Is More Impressive Than Your Baby,"Matthew Inman, The The Oatmeal",Philippines,Comic,"Why My Cat Is More Impressive Than Your Baby is chockfull of comics about cats, babies, dogs, lasers, selfies, and pigeons! This book contains a vast wealth of never-before-seen comics, including informative guides, such as: How to comfortably sleep next to your cat 10 ways to befriend a misanthropic cat How to hold a baby when you are not used to holding babies A dog's guide to walking a human"
Toyota Engagement Equation,"Ernie Richardson, Tracey Richardson",Philippines,business,"The formula for Lean success! Toyota veterans reveal how to build continuous improvement into your company's DNA  Ever since Toyota introduced the revolutionary Toyota Production System (TPS), businesses have tried to replicate Toyota's success. Few have succeeded over the long term."
Moment Maker: You Can Live Your Life or It Will Live You,Carlos Enrique Whittaker,Philippines,personal growth,"How to Make Every Moment of Every Day Count Every moment of every day, you have a choice to make. You can either let the minutes pass you by or you can claim them for what they are: opportunities to unlock the full depth of life’s potential. For Carlos Whittaker, renowned blogger, musician and worship leader, and husband and dad, living deliberately is a way of life."
Daily Stoic,"Ryan Holiday, Stephen Hanselman",Philippines,"inspiration, personal growth","From the team that brought you The Obstacle Is the Way and Ego Is the Enemy, a beautiful daily devotional of Stoic meditations—an instant Wall Street Journal and USA Today Bestseller.Why have history's greatest minds—from George Washington to Frederick the Great to Ralph Waldo Emerson, along with today's top performers from Super Bowl-winning football coaches to CEOs and celebrities"
How To,Randall Munroe,Philippines,personal growth,"""How To will make you laugh as you learn…With How To, you can’t help but appreciate the glorious complexity of our universe and the amazing breadth of humanity’s effort to comprehend it. If you want some lightweight edification, you won’t go wrong with How To.”"
"Day Trading 101: From Understanding Risk Management and Creating Trade Plans to Recognizing Market Patterns and Using Automated Software, an Essential Primer in Modern Day Trading (Adams 101)",David Borman,Philippines,"finance, stock market","A comprehensive guide to day trading, with prescriptive information and actionable advice to help you achieve financial success.It may seem that day trading is only for savvy investors who know the ins and outs of the marketplace—but it doesn’t have to be. All it takes is the right information and staying on top of the market. "
Ikigai: The Japanese Secret to a Long and Happy Life,"Héctor García, Francesc Miralles",Philippines,personal growth,"Bring meaning and joy to all your days with this internationally bestselling guide to the Japanese concept of ikigai—the happiness of always being busy—as revealed by the daily habits of the world’s longest-living people.“If hygge is the art of doing nothing, ikigai is the art of doing something—and doing it with supreme focus and joy.” —New York Post"
"Lean Thinking: Banish Waste and Create Wealth in Your Corporation, Revised and Updated","James P. Womack, Daniel T. Jones",Philippines,"business, finance",The authors begin by summarizing the five inherent principles in any lean system: Correctly specify value so you are providing what the customer actually wants Identify the value stream for each product family and remove the wasted steps that don't create value but do create muda (waste) Make the remaining value-creating steps flow continuously to drastically shorten throughput times
Leaders Make the Future: Ten New Leadership Skills for an Uncertain World (Bk Business),Bob Johansen,Philippines,"business, leadership & management","We are in a time of disruptive leadership change. In a VUCA world—one characterized by volatility, uncertainty, complexity, and ambiguity—traditional leadership skills won’t be enough, noted futurist Bob Johansen argues. Drawing on the latest ten-year forecast from the Institute for the Future—the only futures think tank ever to outlive its forecasts—this powerful"
"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition","Kerry Patterson, Joseph Grenny, Ron McMillan, Al Switzler",Philippines,"business, communication","The New York Times and Washington Post bestseller that changed the way millions communicate “[Crucial Conversations] draws our attention to those defining moments that literally shape our lives, our relationships, and our world. . . . This book deserves to take its place as one of the key thought leadership contributions of our time.”—from the Foreword by Stephen R. Covey"
