Title,creator,Tags,Number_of_Copies,Description
100 Business Tools for Success,Jeremy Kourdi,"business, startups, technology",1,"The world is full of business ideas.But how do you know which the best ones are? And how do you find time to read them? 100 Business Tools for Success may be a little book, but it contains the very best business tools that have come from the very best business brains on the planet. Each is summarized over just two pages, so that you can quickly gain access to the insights which are driving the..."
"100 Mistakes that Changed History: Backfires and Blunders That Collapsed Empires, Crashed Economies, and Altered the Course of Our World",Bill Fawcett,history,1,"Collected in one volume, here are backfires and blunders that collapsed empires, crashed economies, and altered the course of the world.  From the Maginot Line to the Cuban Missile Crisis, history is filled with bad moves and not-so-bright ideas that snowballed into disasters and unintended consequences. This engrossing book looks at one hundred such tipping points. Japan bombs Pearl Harbor. The..."
10x Is Easier Than 2x,"Dan Sullivan, Benjamin Hardy","self-help, spirituality",1,"Expanding upon one of his high-level foundational teachings: Strategic Coach co-founder Dan Sullivan explains why achieving 10X growth is easier than going for 2X growth. Dan Sullivan, the world's leading coach for highly successful entrepreneurs, wants you to know that achieving 10X growth is exponentially easier than striving for 2X growth. Most find this idea confusing at first because simply..."
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,"non-fiction, psychology, philosophy, self help, religion",5,"The #1 Sunday Times and International Bestseller from 'the most influential public intellectual in the Western world right now' (New York Times) What are the most valuable things that everyone should know? Acclaimed clinical psychologist Jordan Peterson has influenced the modern understanding of personality, and now he has become one of the world's most popular public thinkers, with his lectures..."
1Q84,Haruki Murakami,"fiction, dystopian",1,"“Murakami is like a magician who explains what he’s doing as he performs the trick and still makes you believe he has supernatural powers . . . But while anyone can tell a story that resembles a dream, it's the rare artist, like this one, who can make us feel that we are dreaming it ourselves.” —The New York Times Book Review The year is 1984 and the city is Tokyo.A young woman named..."
21 Irrefutable Laws of Leadership: Follow Them and People Will Follow You,John C. Maxwell,"self-help, business",2,What would happen if a top expert with more than thirty years of leadership experience were willing to distill everything he had learned about leadership into a handful of life-changing principles just for you? It would change your life. John C. Maxwell has done exactly that in The 21 Irrefutable Laws of Leadership. He has combined insights learned from his thirty-plus years of leadership...
21 Lessons for the 21st Century,Yuval Noah Harari,"history, politics, sociology",2,"In Sapiens, he explored our past. In Homo Deus, he looked to our future. Now, one of the most innovative thinkers on the planet turns to the present to make sense of today's most pressing issues. ""Fascinating . . . a crucial global conversation about how to take on the problems of the twenty-first century.""--Bill Gates, The New York Times Book Review NAMED ONE OF THE BEST BOOKS OF THE YEAR BY..."
48 Laws of Power (A Joost Elffers Production),"Robert Greene, Joost Ellfers, Joost Elffers",self-help,6,"Drawn from 3,000 years of the history of power, this is the definitive guide to help readers achieve for themselves what Queen Elizabeth I, Henry Kissinger, Louis XIV and Machiavelli learnt the hard way. Law 1: Never outshine the master Law 2: Never put too much trust in friends; learn how to use enemies Law 3: Conceal your intentions Law 4: Always say less than necessary. The text is bold and..."
5 Levels of Leadership,John C. Maxwell,"self-help, business",1,"True leadership isnt a matter of having a certain job or title. In fact, being chosen for a position is only the first of the five levels every effective leader achieves. To become more than ""the boss"" people follow only because they are required to, you have to master the ability to invest in people and inspire them. To grow further in your role, you must achieve results and build a team that..."
7 Habits of Highly Effective People,"Stephen R. Covey, Jim Collins (Foreword by), Sean Covey (Contribution by)",self-help,3,"*New York Times bestseller--over 40 million copies sold* *The #1 Most Influential Business Book of the Twentieth Century* One of the most inspiring and impactful books ever written, The 7 Habits of Highly Effective People has captivated readers for nearly three decades. It has transformed the lives of presidents and CEOs, educators and parents--millions of people of all ages and occupations. Now,..."
